sub_43D2C0,0x43d2c0,0x83
Car_BC::sub_43D400,0x43d400,0x127
Car_BC:sub_43D5D0,0x43d5d0,0x54
Car_BC::sub_43D690,0x43d690,0x85
Car_BC::sub_43D7B0,0x43d7b0,0x50
Car_BC::sub_43D840,0x43d840,0x205
Car_BC::sub_43DA90,0x43da90,0xe7
Car_BC::sub_43DB80,0x43db80,0x47
Car_BC::sub_43DBD0,0x43dbd0,0x26
Car_BC::sub_43DC00,0x43dc00,0x71
Car_BC::sub_43DC80,0x43dc80,0xc2
Car_BC::sub_43DD50,0x43dd50,0xd
Car_BC::sub_43DD60,0x43dd60,0x1cf
Car_BC::sub_43E560,0x43e560,0x15b
Car_BC::sub_43E8D0,0x43e8d0,0xd
Car_BC::sub_43E990,0x43e990,0x17
Car_BC::sub_43EA60,0x43ea60,0x134
sub_43F130,0x43f130,0x864
sub_4403A0,0x4403a0,0x5d
Car_BC::sub_440510,0x440510,0x5d
Car_BC::GetPassengersCount_440570,0x440570,0x1f
Car_BC::sub_440590,0x440590,0x5d
Car_BC::sub_4405F0,0x4405f0,0x35
Car_BC::sub_440630,0x440630,0x27
Car_BC::sub_440660,0x440660,0x4e
Car_BC::sub_4406B0,0x4406b0,0x27
Car_BC::sub_4406E0,0x4406e0,0x105
Car_BC::sub_4407F0,0x4407f0,0x4e
Car_BC::sub_440840,0x440840,0x12
sub_440860,0x440860,0x2c
Car_BC::sub_440AC0,0x440ac0,0x43
Car_BC::sub_440B10,0x440b10,0x46
Car_BC::sub_440B60,0x440b60,0x46
Car_BC::sub_440BB0,0x440bb0,0x53
Car_BC::sub_440C10,0x440c10,0x17e
Car_BC::sub_440D90,0x440d90,0x1ff
Car_BC::sub_440F90,0x440f90,0x9b
Car_BC::sub_441030,0x441030,0x4b
Car_BC::sub_441080,0x441080,0x4b
Car_BC::sub_4410D0,0x4410d0,0x247
sub_441330,0x441330,0x29
Car_BC::sub_441360,0x441360,0x1a
Car_BC::sub_441380,0x441380,0x25
Car_BC::sub_4413B0,0x4413b0,0x168
Car_BC::sub_441520,0x441520,0x75
Car_BC::sub_4415C0,0x4415c0,0x25
nullsub_96,0x4415f0,0x1
Car_BC::sub_441600,0x441600,0xcb
Car_BC::sub_4416D0,0x4416d0,0xfd
