Fix16::sub_41B480,0x41b480,0x1b480,0xe
sound_obj::sub_41B490,0x41b490,0x1b490,0x45
sound_obj::VecDiff_41B4E0,0x41b4e0,0x1b4e0,0x37
sound_obj::FromFix16_41B520,0x41b520,0x1b520,0x13
sound_obj::AdjustSamplesVolume_41B540,0x41b540,0x1b540,0x9a
sound_obj::ComputeEmittingVolume_41B660,0x41b660,0x1b660,0x32
sound_obj::ClearRequestedQueue_41B700,0x41b700,0x1b700,0x40
sound_obj::ClearActivateSamples_41B7A0,0x41b7a0,0x1b7a0,0x123
sound_obj::GenerateIntegerRandomNumberTable_41BA90,0x41ba90,0x1ba90,0x1d
nullsub_63,0x41dcf0,0x1dcf0,0x1
nullsub_64,0x41dd30,0x1dd30,0x1
nullsub_65,0x41e6f0,0x1e6f0,0x1
nullsub_66,0x41e740,0x1e740,0x1
sound_obj::sub_41E820,0x41e820,0x1e820,0x27
sound_obj::sub_41E850,0x41e850,0x1e850,0xba7
sound_obj::sub_41F520,0x41f520,0x1f520,0x3b5
sound_obj::sub_41FCA0,0x41fca0,0x1fca0,0xb4
nullsub_67,0x422030,0x22030,0x1
nullsub_68,0x422070,0x22070,0x1
nullsub_69,0x422a00,0x22a00,0x1
nullsub_70,0x422a50,0x22a50,0x1
sound_obj::sub_422B70,0x422b70,0x22b70,0x4e5
sound_obj::sub_423080,0x423080,0x23080,0x5a8
sub_4236C0,0x4236c0,0x236c0,0x1d
nullsub_71,0x425c20,0x25c20,0x1
nullsub_72,0x425c60,0x25c60,0x1
nullsub_73,0x426620,0x26620,0x1
nullsub_74,0x426670,0x26670,0x1
sound_obj::sub_426750,0x426750,0x26750,0x35
sound_obj::sub_426790,0x426790,0x26790,0x640
sound_obj::sub_426E10,0x426e10,0x26e10,0x105
sound_obj::sub_426F20,0x426f20,0x26f20,0x190
cSampleManager::sub_427170,0x427170,0x27170,0xa
sound_obj::Init_15_Array_427180,0x427180,0x27180,0x25
sound_obj::Set15Val_4271B0,0x4271b0,0x271b0,0x6a
sound_obj::sub_427220,0x427220,0x27220,0xe1
sound_obj::sub_427310,0x427310,0x27310,0x1a
nullsub_4,0x427330,0x27330,0x1
sound_obj::sub_427340,0x427340,0x27340,0x61
sound_obj::sub_4273B0,0x4273b0,0x273b0,0x49
sub_427400,0x427400,0x27400,0x8d
nullsub_75,0x4299d0,0x299d0,0x1
nullsub_76,0x429a10,0x29a10,0x1
nullsub_77,0x42a3d0,0x2a3d0,0x1
nullsub_78,0x42a420,0x2a420,0x1
sound_obj::ProcessType7_42A500,0x42a500,0x2a500,0x203
nullsub_79,0x42ccb0,0x2ccb0,0x1
nullsub_80,0x42ccf0,0x2ccf0,0x1
nullsub_81,0x42d6b0,0x2d6b0,0x1
nullsub_82,0x42d700,0x2d700,0x1
DoBrianTest_42D870,0x42d870,0x2d870,0x11e
nullsub_83,0x42d9b0,0x2d9b0,0x1
nullsub_84,0x42ff00,0x2ff00,0x1
nullsub_85,0x42ff40,0x2ff40,0x1
nullsub_86,0x430900,0x30900,0x1
nullsub_87,0x430950,0x30950,0x1
sub_430A30,0x430a30,0x30a30,0x8d
SetErr_430AC0,0x430ac0,0x30ac0,0x44
sub_430B10,0x430b10,0x30b10,0x154
sub_430C70,0x430c70,0x30c70,0x1d6
sub_430E60,0x430e60,0x30e60,0x55
Str_430EC0,0x430ec0,0x30ec0,0x70
HexStr2Int_430F30,0x430f30,0x30f30,0x6c
Str_430FA0,0x430fa0,0x30fa0,0x5a
Str_431000,0x431000,0x31000,0x7b
StrToInt_431080,0x431080,0x31080,0x55
silly_saha_0x2C::ctor_431D30,0x431d30,0x31d30,0xc
silly_saha_0x2C::dtor_431D40,0x431d40,0x31d40,0x1
silly_saha_0x2C::sub_431D50,0x431d50,0x31d50,0x45
silly_saha_0x2C::sub_431DA0,0x431da0,0x31da0,0x5
silly_saha_0x2C::sub_431DB0,0x431db0,0x31db0,0x5
sad_mirzakhani::ctor_431DC0,0x431dc0,0x31dc0,0x29
sad_mirzakhani::dtor_431DF0,0x431df0,0x31df0,0x1a
sad_mirzakhani::sub_431E10,0x431e10,0x31e10,0x17
sad_mirzakhani::sub_431E30,0x431e30,0x31e30,0x53
sad_mirzakhani::next_free_idx_431E90,0x431e90,0x31e90,0x28
sad_mirzakhani::find_431EC0,0x431ec0,0x31ec0,0x116
sad_mirzakhani::alloc_next_431FE0,0x431fe0,0x31fe0,0x94
sad_mirzakhani::sub_432080,0x432080,0x32080,0x50
sad_mirzakhani::sub_4320D0,0x4320d0,0x320d0,0x9e
sad_mirzakhani::sub_432170,0x432170,0x32170,0xa9
sad_mirzakhani::sub_432240,0x432240,0x32240,0x7e
sad_mirzakhani::sub_432300,0x432300,0x32300,0x68
nullsub_88,0x434990,0x34990,0x1
nullsub_89,0x4349d0,0x349d0,0x1
nullsub_90,0x435360,0x35360,0x1
nullsub_91,0x4353b0,0x353b0,0x1
DrawUnk_0xBC::sub_4355D0,0x4355d0,0x355d0,0x5b
DrawUnk_0xBC::sub_435630,0x435630,0x35630,0x173
